weather_datetime,solar_datetime,solarRadiation,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windgustLow,windspeedAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal,DC
2020-02-07 14:29:00,2020-02-07 14:29:1,627.7,7.0,195,24,24,24,-1,65,65,65,0,0,0,28,28,28,65,65,65,65,65,30.06,30.05,0.6,0.0,0.0,42.036
2020-02-07 14:34:00,2020-02-07 14:34:1,617.31,7.0,129,24,23,23,-1,68,66,67,0,0,0,30,27,28,68,67,68,66,67,30.06,30.05,-0.15,0.0,0.0,42.12600000000001
2020-02-07 14:39:00,2020-02-07 14:39:1,608.13,6.0,108,24,23,23,-1,68,67,67,1,0,0,30,28,29,68,67,68,67,67,30.06,30.05,0.0,0.0,0.0,42.264
2020-02-07 14:44:00,2020-02-07 14:44:1,582.57,6.0,87,25,24,24,-1,67,66,66,0,0,0,29,28,29,67,66,67,66,66,30.06,30.05,-0.15,0.0,0.0,42.20399999999999
2020-02-07 14:49:00,2020-02-07 14:49:1,571.67,6.0,38,24,24,24,-1,66,66,66,1,0,1,29,28,28,66,66,66,66,66,30.05,30.04,-0.15,0.0,0.0,42.36
2020-02-07 14:54:00,2020-02-07 14:54:1,551.37,6.0,270,25,24,24,-1,66,66,66,4,0,1,29,28,29,66,66,66,66,66,30.05,30.04,0.15,0.0,0.0,42.606
2020-02-07 14:59:00,2020-02-07 14:59:1,531.3,6.0,115,25,23,24,-1,66,66,66,3,0,1,29,27,28,66,66,66,66,66,30.05,30.04,-0.15,0.0,0.0,42.56399999999999
2020-02-07 15:04:00,2020-02-07 15:4:1,513.2,5.0,192,23,23,23,-1,68,66,67,0,0,0,29,28,28,68,67,68,66,67,30.05,30.05,0.0,0.0,0.0,42.33
2020-02-07 15:09:00,2020-02-07 15:9:1,496.2,5.0,96,24,23,23,1,68,67,68,1,0,0,30,29,29,68,68,68,67,68,30.05,30.05,0.0,0.0,0.0,42.528
2020-02-07 15:14:00,2020-02-07 15:14:1,506.59,5.0,87,24,23,23,1,67,67,67,0,0,0,29,28,29,67,67,67,67,67,30.05,30.05,0.0,0.0,0.0,42.42
2020-02-07 15:19:00,2020-02-07 15:19:1,442.0,5.0,41,24,24,24,1,67,67,67,6,0,2,29,29,29,67,67,67,67,67,30.05,30.04,0.15,0.0,0.0,42.792
2020-02-07 15:24:00,2020-02-07 15:24:1,422.42,4.0,358,24,24,24,1,67,66,67,0,0,0,29,29,29,67,67,67,66,67,30.06,30.04,0.0,0.0,0.0,42.768
2020-02-07 15:29:00,2020-02-07 15:29:1,390.37,4.0,341,24,23,23,1,67,66,67,3,0,1,29,28,29,67,67,67,66,67,30.05,30.05,0.0,0.0,0.0,42.78
2020-02-07 15:34:00,2020-02-07 15:34:1,360.4,4.0,46,24,23,23,1,67,67,67,4,0,1,29,28,29,67,67,67,67,67,30.06,30.05,-0.15,0.0,0.0,42.87600000000001
2020-02-07 15:39:00,2020-02-07 15:39:1,340.46,3.0,345,24,23,23,1,67,67,67,7,0,2,29,28,29,67,67,67,67,67,30.05,30.05,0.0,0.0,0.0,42.95399999999999
2020-02-07 15:44:00,2020-02-07 15:44:1,351.35,4.0,100,24,23,23,1,67,67,67,3,0,1,29,28,29,67,67,67,67,67,30.05,30.04,0.0,0.0,0.0,42.918
2020-02-07 15:49:00,2020-02-07 15:49:1,314.4,3.0,39,24,23,23,1,67,67,67,3,0,1,29,28,29,67,67,67,67,67,30.05,30.05,0.0,0.0,0.0,42.95399999999999
2020-02-07 15:54:00,2020-02-07 15:54:1,287.12,3.0,93,24,23,23,1,68,67,67,3,2,2,29,28,29,68,67,68,67,67,30.05,30.04,0.0,0.0,0.0,43.032
2020-02-07 15:59:00,2020-02-07 15:59:1,264.12,3.0,23,25,24,24,1,67,66,67,6,2,4,29,28,29,67,67,67,66,67,30.05,30.04,0.15,0.0,0.0,43.11600000000001
2020-02-07 16:04:00,2020-02-07 16:4:1,244.67,2.0,24,25,24,24,1,67,66,66,6,0,1,29,28,29,67,66,67,66,66,30.06,30.04,0.15,0.0,0.0,43.092
2020-02-07 16:09:00,2020-02-07 16:9:1,234.64,2.0,13,25,24,24,1,67,66,66,7,2,5,30,28,29,67,66,67,66,66,30.05,30.04,0.15,0.0,0.0,43.152
2020-02-07 16:14:00,2020-02-07 16:14:1,209.93,2.0,16,25,24,24,1,66,66,66,8,6,6,29,28,29,66,66,66,66,66,30.05,30.04,0.15,0.0,0.0,43.236
2020-02-07 16:19:00,2020-02-07 16:19:1,183.02,2.0,42,25,24,24,1,66,66,66,4,1,3,30,28,29,66,66,66,66,66,30.05,30.05,0.0,0.0,0.0,43.158
2020-02-07 16:24:00,2020-02-07 16:24:1,162.58,1.0,31,25,24,24,1,66,66,66,7,0,3,29,28,29,66,66,66,66,66,30.05,30.04,0.15,0.0,0.0,43.158
2020-02-07 16:29:00,2020-02-07 16:29:1,150.96,1.0,12,25,24,24,1,66,66,66,6,5,5,29,28,29,66,66,66,66,66,30.05,30.05,0.0,0.0,0.0,43.17
2020-02-07 16:34:00,2020-02-07 16:34:1,138.73,1.0,26,25,24,24,1,66,66,66,9,5,5,29,28,29,66,66,66,66,66,30.05,30.04,-0.15,0.0,0.0,43.14
2020-02-07 16:39:00,2020-02-07 16:39:1,121.85,1.0,68,25,24,24,1,66,66,66,7,2,5,29,28,28,66,66,66,66,66,30.05,30.04,0.15,0.0,0.0,43.06800000000001
2020-02-07 16:44:00,2020-02-07 16:44:1,105.33,1.0,345,24,24,24,1,66,66,66,5,0,3,28,28,28,66,66,66,66,66,30.05,30.04,0.15,0.0,0.0,42.93600000000001
2020-02-07 16:49:00,2020-02-07 16:49:1,74.14,0.0,328,24,24,24,1,66,66,66,5,0,1,28,28,28,66,66,66,66,66,30.05,30.04,0.15,0.0,0.0,42.81
2020-02-07 16:54:00,2020-02-07 16:54:1,55.9,0.0,74,24,23,23,1,66,66,66,2,0,1,28,27,28,66,66,66,66,66,30.06,30.05,0.0,0.0,0.0,42.648
2020-02-07 16:59:00,2020-02-07 16:59:1,51.14,0.0,79,24,24,24,1,66,66,66,3,1,2,28,28,28,66,66,66,66,66,30.05,30.04,0.0,0.0,0.0,42.49800000000001
2020-02-07 17:04:00,2020-02-07 17:4:1,45.02,0.0,52,24,23,23,1,66,66,66,6,2,4,28,27,28,66,66,66,66,66,30.05,30.05,0.0,0.0,0.0,42.3
2020-02-07 17:09:00,2020-02-07 17:9:1,38.53,0.0,96,24,23,23,1,66,66,66,6,1,4,28,27,28,66,66,66,66,66,30.06,30.05,0.0,0.0,0.0,42.03
2020-02-07 17:14:00,2020-02-07 17:14:1,32.42,0.0,100,24,23,23,1,66,66,66,4,1,3,28,27,28,66,66,66,66,66,30.06,30.05,-0.15,0.0,0.0,41.7
2020-02-07 17:19:00,2020-02-07 17:19:1,27.28,0.0,116,24,24,24,1,66,66,66,1,0,0,28,28,28,66,66,66,66,66,30.06,30.05,0.0,0.0,0.0,41.226000000000006
2020-02-07 17:24:00,2020-02-07 17:24:1,22.87,0.0,103,24,24,24,1,66,66,66,1,0,0,28,28,28,66,66,66,66,66,30.06,30.05,-0.15,0.0,0.0,40.734
2020-02-07 17:29:00,2020-02-07 17:29:1,17.73,0.0,74,25,24,24,1,66,65,66,3,1,1,29,28,28,66,66,66,65,66,30.05,30.05,0.0,0.0,0.0,40.062
2020-02-07 17:34:00,2020-02-07 17:34:1,13.82,0.0,134,25,25,25,1,65,65,65,1,0,0,28,28,28,65,65,65,65,65,30.06,30.05,0.15,0.0,0.0,39.222
2020-02-07 17:39:00,2020-02-07 17:39:1,9.91,0.0,105,25,25,25,1,65,64,65,2,0,1,28,28,28,65,65,65,64,65,30.06,30.05,-0.15,0.0,0.0,38.106
2020-02-07 17:44:00,2020-02-07 17:44:1,5.99,0.0,224,26,25,25,1,64,64,64,0,0,0,29,28,28,64,64,64,64,64,30.06,30.05,0.15,0.0,0.0,36.084
2020-02-07 17:49:00,2020-02-07 17:49:1,3.43,0.0,131,26,26,26,0,64,63,63,0,0,0,28,28,28,64,63,64,63,63,30.06,30.05,0.0,0.0,0.0,34.578
2020-02-07 17:54:00,2020-02-07 17:54:1,1.22,0.0,96,26,26,26,1,63,63,63,0,0,0,28,28,28,63,63,63,63,63,30.07,30.06,0.0,0.0,0.0,32.28
2020-02-07 17:59:00,2020-02-07 17:59:1,0.0,0.0,197,27,26,26,1,63,63,63,0,0,0,28,27,28,63,63,63,63,63,30.07,30.06,-0.15,0.0,0.0,27.84
