weather_datetime,solar_datetime,solarRadiation,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windgustLow,windspeedAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
3/30/2020 21:54,3/30/2020 21:54,0,0,153,26,25,25,1,62,62,62,1,0,0,26,26,26,62,62,62,62,62,30.25,30.24,0,0,0
3/30/2020 21:59,3/30/2020 21:59,0,0,158,25,25,25,1,62,62,62,3,0,1,26,26,26,62,62,62,62,62,30.25,30.25,0,0,0
3/30/2020 22:04,3/30/2020 22:04,0,0,185,26,25,25,1,62,61,61,1,0,0,26,25,26,62,61,62,61,61,30.25,30.24,0,0,0
3/30/2020 22:09,3/30/2020 22:09,0,0,155,26,25,25,1,61,61,61,4,0,1,26,25,25,61,61,61,61,61,30.25,30.24,0,0,0
3/30/2020 22:14,3/30/2020 22:14,0,0,167,26,25,25,1,62,61,61,3,0,1,26,25,25,62,61,62,61,61,30.25,30.25,0,0,0
3/30/2020 22:19,3/30/2020 22:19,0,0,199,26,26,26,1,61,61,61,0,0,0,26,26,26,61,61,61,61,61,30.25,30.24,0,0,0
3/30/2020 22:24,3/30/2020 22:24,0,0,204,27,26,26,1,61,60,60,0,0,0,26,25,26,61,60,61,60,60,30.25,30.25,0,0,0
3/30/2020 22:29,3/30/2020 22:29,0,0,330,27,27,27,1,60,60,60,0,0,0,26,26,26,60,60,60,60,60,30.25,30.25,0,0,0
3/30/2020 22:34,3/30/2020 22:34,0,0,204,27,27,27,1,60,60,60,0,0,0,26,26,26,60,60,60,60,60,30.25,30.25,0,0,0
3/30/2020 22:39,3/30/2020 22:39,0,0,292,28,28,28,1,60,59,60,0,0,0,27,26,26,60,60,60,59,60,30.25,30.25,0,0,0
3/30/2020 22:44,3/30/2020 22:44,0,0,286,28,28,28,1,59,59,59,0,0,0,26,26,26,59,59,59,59,59,30.25,30.25,0,0,0
3/30/2020 22:49,3/30/2020 22:49,0,0,231,29,28,28,1,59,59,59,0,0,0,27,26,26,59,59,59,59,59,30.25,30.25,0,0,0
3/30/2020 22:54,3/30/2020 22:54,0,0,247,29,28,28,1,59,59,59,0,0,0,27,26,26,59,59,59,59,59,30.26,30.25,0,0,0
3/30/2020 22:59,3/30/2020 22:59,0,0,221,30,29,29,1,59,58,58,0,0,0,27,26,27,59,58,59,58,58,30.26,30.25,0,0,0
3/30/2020 23:04,3/30/2020 23:04,0,0,209,29,29,29,1,58,58,58,0,0,0,26,26,26,58,58,58,58,58,30.26,30.25,-0.15,0,0
3/30/2020 23:09,3/30/2020 23:09,0,0,215,29,29,29,1,58,58,58,0,0,0,26,26,26,58,58,58,58,58,30.26,30.25,-0.15,0,0
3/30/2020 23:14,3/30/2020 23:14,0,0,188,30,29,29,1,58,58,58,0,0,0,27,26,26,58,58,58,58,58,30.26,30.25,0.15,0,0
3/30/2020 23:19,3/30/2020 23:19,0,0,212,30,29,29,1,58,57,57,0,0,0,26,25,26,58,57,58,57,57,30.26,30.25,0.15,0,0
3/30/2020 23:24,3/30/2020 23:24,0,0,204,31,29,29,1,58,58,58,0,0,0,27,26,26,58,58,58,58,58,30.27,30.25,0,0,0
3/30/2020 23:29,3/30/2020 23:29,0,0,239,32,30,31,1,57,57,57,0,0,0,28,26,27,57,57,57,57,57,30.26,30.25,-0.15,0,0
3/30/2020 23:34,3/30/2020 23:34,0,0,219,31,31,31,1,57,57,57,0,0,0,27,26,27,57,57,57,57,57,30.26,30.26,0,0,0
3/30/2020 23:39,3/30/2020 23:39,0,0,349,33,31,32,1,57,56,57,1,0,0,28,27,27,57,57,57,56,57,30.27,30.25,0.15,0,0
3/30/2020 23:44,3/30/2020 23:44,0,0,33,33,30,31,1,57,56,56,2,0,0,27,26,26,57,56,57,56,56,30.26,30.26,0,0,0
3/30/2020 23:49,3/30/2020 23:49,0,0,218,31,30,30,1,58,57,57,0,0,0,27,26,27,58,57,58,57,57,30.26,30.26,0,0,0
3/30/2020 23:54,3/30/2020 23:54,0,0,215,31,30,30,1,57,57,57,0,0,0,27,26,27,57,57,57,57,57,30.26,30.26,0,0,0
3/30/2020 23:59,3/30/2020 23:59,0,0,212,32,31,31,1,57,56,57,0,0,0,27,26,27,57,57,57,56,57,30.26,30.26,0,0,0
3/31/2020 0:04,3/31/2020 0:04,0,0,69,34,32,32,1,56,56,56,0,0,0,28,26,27,56,56,56,56,56,30.26,30.26,0,0,0
3/31/2020 0:09,3/31/2020 0:09,0,0,245,33,33,33,1,56,56,56,0,0,0,27,27,27,56,56,56,56,56,30.26,30.26,0,0,0
3/31/2020 0:14,3/31/2020 0:14,0,0,206,34,33,33,1,55,55,55,0,0,0,27,26,27,55,55,55,55,55,30.26,30.26,0,0,0
3/31/2020 0:19,3/31/2020 0:19,0,0,235,35,33,33,1,55,55,55,0,0,0,28,26,27,55,55,55,55,55,30.27,30.26,-0.15,0,0
3/31/2020 0:24,3/31/2020 0:24,0,0,270,33,33,33,1,55,55,55,0,0,0,26,26,26,55,55,55,55,55,30.27,30.26,0,0,0
3/31/2020 0:29,3/31/2020 0:29,0,0,179,34,33,33,1,55,55,55,0,0,0,27,26,27,55,55,55,55,55,30.27,30.26,0.15,0,0
3/31/2020 0:34,3/31/2020 0:34,0,0,236,35,34,34,1,55,54,54,0,0,0,27,26,27,55,54,55,54,54,30.26,30.26,0,0,0
3/31/2020 0:39,3/31/2020 0:39,0,0,245,35,34,34,1,54,54,54,0,0,0,27,26,27,54,54,54,54,54,30.27,30.25,0.15,0,0
3/31/2020 0:44,3/31/2020 0:44,0,0,196,37,35,36,1,54,53,54,0,0,0,28,27,28,54,54,54,53,54,30.26,30.25,-0.15,0,0
3/31/2020 0:49,3/31/2020 0:49,0,0,209,37,35,36,1,53,53,53,0,0,0,28,26,27,53,53,53,53,53,30.27,30.26,0,0,0
